Código de Conexión,Equipo,Tipo de la observación,Fecha de la Observación,Código de la observación,Lectura de contador,Toda la lectura de contador del tiempo,Edad componente,Intervalo de la observación,días,Valoración de la Observación,Grado de Trakka,Edad del lubricante,Uso,Lubricante drenado,Agredado,Valoración del Estado Asignada,Notas sobre la Revisión del Estado,Otras recomendaciones,Efecto de Falla,Revisado,Revisor,Resumen de la Acción,Boro (ppm),Calcio (ppm),Cinc (ppm),Fosforado (ppm),Magnesio (ppm),Molibdeno (ppm),Agua (%),Nitración JOAP (Abs/cm),Oxidación JOAP (Abs/cm),Silicio (ppm),Sodio (ppm),Sulfatación JOAP (Abs/cm),Viscosidad @ 100°C (cSt),ISO 4406:1999 > 04µ,ISO 4406:1999 > 06µ,ISO 4406:1999 > 14µ,Aluminio (ppm),Cobre (ppm),Cromo (ppm),Hierro (ppm),Plomo (ppm),Bario (ppm),Cadmio (ppm),Estaño (ppm),Niquel (ppm),Fecha Calculada,Año,Mes,Flota
0060140 ZSHI,60140,Análisis flúido,8/09/2021,0060140 ZSHI 20210908,"9305,17","9305,17","9305,17","218,04",18,Advertencia,Crítico,,"9305,17",No,0,Advertencia,Los predictores de cobre está en rango crítico.,"1. Cambiar los filtros del sistema hidráulico de flujo pleno, by pass y alta eficiencia  2. Tome una muestra de aceite de 1LT y entréguela en laboratorio de tribología de Cerrejon para que Primax analice los resultados.  ",Alto conteo de partículas,13/09/2021 12:31:26 a. m.,fpertuz,"Acción: Cambiar los filtros (Prioridad: 3 - Acción en el siguiente Servicio (Máximo 21 días))  Situación: Closed  Realización de Notas en 2021-09-29 12:07:54 por cerrejon_web_service:  A.  Qu% encontr% al hacer el diagn%stico de la falla? (Parte, Modo)  134 Transmision Giro Frontal LH(TRAKKA)  B.  Qu% trabajo se realiz%?  134 Transmision Giro Frontal LH(TRAKKA)C.  Cu%l fue la causa o posible causa de la falla? PARADA P    Cierre de notas en 2024-03-15 09:44:21 por etorres4:  Se Cierra Orden completada ,ante la mejoria en la salud del componente    ",,"0,84","131,88","203,72",,0,,,,"0,35",,,"8,458",18,16,12,"0,18","18,79",0,3,0,,,,,8/09/2021,2021,09,EX3600
0060140 ZSHI,60140,Análisis flúido,21/08/2021,0060140 ZSHI 20210821,"9087,13","9087,13","9087,13","104,28",8,Advertencia,Crítico,,"9087,13",No,0,Advertencia,"Monitoreo a la siguiente muestra, se tomaron acciones despues de la toma de esta muestra en que se ejecuto el PM",,Ninguna falla identificada,22/08/2021 11:35:14 p. m.,fpertuz,,,0,"142,1","338,91",,"0,43",,,,0,,,"8,541",22,20,16,0,"21,39","0,08",5,"0,22",,,,,21/08/2021,2021,08,EX3600
0060140 ZSHI,60140,Análisis flúido,13/08/2021,0060140 ZSHI 20210813,"8982,85","8982,85","8982,85","382,82",28,Advertencia,Crítico,,"8982,85",No,0,Advertencia,Los predictores de cobre está en rango crítico.,"1. Cambiar los filtros del sistema hidráulico de flujo pleno, by pass y alta eficiencia  2. Tome una muestra de aceite de 1LT y entréguela en laboratorio de tribología de Cerrejon para que Primax analice los resultados.  ",Alto conteo de partículas,16/08/2021 11:33:57 p. m.,fpertuz,Acción: Cambiar los filtros (Prioridad: 3 - Acción en el siguiente Servicio (Máximo 21 días))  Situación: Closed  Realización de Notas en 2021-09-13 00:41:49 por fpertuz:    Cierre de notas en 2021-09-13 00:41:49 por fpertuz:  Se ejecuto en el seis    Acción: Investigar la fuente del desgaste anormal. (Prioridad: 3 - Acción en el siguiente Servicio (Máximo 21 días))  Situación: Closed  Realización de Notas en 2021-09-13 00:41:49 por fpertuz:    Cierre de notas en 2021-09-13 00:41:49 por fpertuz:  Se ejecuto en el seis    ,,"0,89","142,27","213,9",,0,,,,"0,29",,,"8,494",20,19,16,"0,22","19,36","0,03",4,"0,12",,,,,13/08/2021,2021,08,EX3600
0060140 ZSHI,60140,Análisis flúido,16/07/2021,0060140 ZSHI 20210716,"8600,03","8600,03","8600,03","576,45",34,Advertencia,Crítico,,"8600,03",No,0,Advertencia,Los predictores de cobre está en rango crítico.,"  1. Cambiar los filtros del sistema hidráulico de flujo pleno, by pass y alta eficiencia  2. Tome una muestra de aceite de 1LT y entréguela en laboratorio de tribología de Cerrejon para que Primax analice los resultados.  ",Alto conteo de partículas,19/07/2021 3:11:34 p. m.,fpertuz,"Acción: Cambiar los filtros (Prioridad: 3 - Acción en el siguiente Servicio (Máximo 21 días))  Situación: Closed  Realización de Notas en 2021-07-30 12:16:10 por cerrejon_web_service:  A.  Qu% encontr% al hacer el diagn%stico de la falla? (Parte, Modo)  SISTEMA HIDRAULICO (TRAKKA)  B.  Qu% trabajo se realiz%?  SISTEMA HIDRAULICO (TRAKKA)  C.  Cu%l fue la causa oposible causa de la falla?  SISTEMA HIDRAULICO (TRAKKA)  D.    Cierre de notas en 2024-03-15 09:44:18 por etorres4:  Se Cierra Orden completada ,ante la mejoria en la salud del componente    ",,"0,26","133,17","259,85",,"0,47",,,,"0,36",,,"8,471",19,17,14,"0,48","21,01",0,4,0,,,,,16/07/2021,2021,07,EX3600
0060140 ZSHI,60140,Análisis flúido,12/06/2021,0060140 ZSHI 20210612,"8023,58","8023,58","8023,58","713,06",51,Advertencia,Crítico,,"8023,58",No,0,Crítico,Los predictores de cobre está en rango critico.,"1. Cambiar los filtros del sistema hidráulico de flujo pleno, by pass y alta eficiencia  2. Tome una muestra de aceite de 1LT y entréguela en laboratorio de tribología de Cerrejon para que Primax analice los resultados.  ",Alto conteo de partículas,18/06/2021 4:13:56 p. m.,fpertuz,"Acción: Cambiar los filtros (Prioridad: 2 - Acción dentro de las dos Paradas Programadas (Máxi)  Situación: Closed  Realización de Notas en 2021-07-13 12:17:50 por cerrejon_web_service:  EJECUTADO DURANTE SEIS EL 09-07-2021    Cierre de notas en 2024-03-15 09:44:19 por etorres4:  Se Cierra Orden completada ,ante la mejoria en la salud del componente    ",,"1,38","146,49","265,19",,0,,,,"0,49",,,"8,47",20,19,16,"0,29","19,41",0,3,"0,12",,,,,12/06/2021,2021,06,EX3600
0060140 ZSHI,60140,Análisis flúido,22/04/2021,0060140 ZSHI 20210422,"7310,52","7310,52","7310,52","279,3",18,Advertencia,Crítico,,"7310,52",No,0,Crítico,Los predictores de cobre esta en rango critico.,"1. Cambiar los filtros del sistema hidráulico de flujo pleno, by pass y alta eficiencia  2. Tome una muestra de aceite de 1LT y entréguela en laboratorio de tribología de Cerrejon para que Primax analice los resultados.  ",Alto conteo de partículas,27/04/2021 8:36:04 p. m.,fpertuz,"Acción: Cambiar los filtros (Prioridad: 3 - Acción en el siguiente Servicio (Máximo 21 días))  Situación: Closed  Realización de Notas en 2021-06-09 12:14:20 por cerrejon_web_service:  SE EJECUTA DURANTE SEIS DE 250 HRS EL DIA 07 DE JUNIO DEL 2021 POR ALEX ROJANO    Cierre de notas en 2021-06-15 17:08:07 por fpertuz:  Se cambiaron los filtros del sistema, seguimiento a la muestra.    ",,"0,28","155,69","192,74",,0,,3,4,"0,79",,12,"8,49",20,19,15,"0,05","19,7","0,08",2,"0,37",,,,,22/04/2021,2021,04,EX3600
0060140 ZSHI,60140,Análisis flúido,4/04/2021,0060140 ZSHI 20210404,"7031,22","7031,22","7031,22","562,22",33,Advertencia,Crítico,,"7031,22",No,0,Crítico,El predictor de cobre esta en rangos criticos.,"1.	Drenar aceite  2.	Suministrar 20 gls y efectuar enjuague cangureando la máquina y haciendo el movimiento de traslación 5 minutos  3.	Repetir el paso dos  4.	Completar nivel del componente  5.	Hacer movimiento del mando 5 minutos  6.	Tomar muestra de aceite, marcar el frasco con la fecha, marcar el frasco el componente y entregar al técnico líder de confiabilidad en turno (Julio o Harold) para que lo entregue en tribología.  ",Alto conteo de partículas,6/04/2021 4:55:44 p. m.,fpertuz,"Acción: Drenar el Aceite, Limpiar a fondo, Rellenar Aceite (Prioridad: 2 - Acción dentro de las dos Paradas Programadas (Máxi)  Situación: Rejected  Notas de rechazo encendido 2021-05-02 18:54:23 por fpertuz:  Duplicada    Acción: Cambiar aceite (Prioridad: 2 - Acción dentro de las dos Paradas Programadas (Máxi)  Situación: Rejected  Notas de rechazo encendido 2021-05-02 18:54:23 por fpertuz:  Duplicada    ",,"3,64","175,59","225,79",,"0,08",,,,"0,6",,,"8,428",20,18,14,"0,1","19,06",0,2,0,,,,,4/04/2021,2021,04,EX3600
0060140 ZSHI,60140,Análisis flúido,2/03/2021,0060140 ZSHI 20210302,6469,6469,6469,"547,86",31,Advertencia,Crítico,,6469,No,0,Normal,Ya tiene una OT abierta para el predictor asociado previamente,,Ninguna falla identificada,7/03/2021 9:02:00 p. m.,fpertuz,,,"0,6","186,2","160,6",,0,,,,"0,8",,,"8,846",22,20,16,0,"15,3",0,2,0,,,,,2/03/2021,2021,03,EX3600
0060140 ZSHI,60140,Análisis flúido,30/01/2021,0060140 ZSHI 20210130,"5921,14","5921,14","5921,14","545,72",35,Advertencia,Crítico,,"5921,14",No,0,Crítico,Los predictores de cobre esta en rango critico,"1. Cambiar los filtros del sistema hidráulico de flujo pleno, by pass y alta eficiencia  2. Tome una muestra de aceite de 1LT y entréguela en laboratorio de tribología de Cerrejon para que Primax analice los resultados.  ",Alto conteo de partículas,3/02/2021 8:33:40 p. m.,fpertuz,"Acción: Cambiar los filtros (Prioridad: 2 - Acción dentro de las dos Paradas Programadas (Máxi)  Situación: Closed  Realización de Notas en 2021-02-10 13:04:09 por cerrejon_web_service:  A. Qu% encontr% al hacer el diagn%stico de la falla? (Parte, Modo) SISTEMA HIDRAULICO (TRAKKA) B. Qu% trabajo se realiz%? SISTEMA HIDRAULICO (TRAKKA) C. Cu%l fue la causa oposible causa de la falla? PARADA PROGRAMADA D. Qu% desvi    Cierre de notas en 2021-02-17 15:14:05 por fpertuz:  SE CAMBIO LA FILTRACION    ",,"1,7","186,1","137,6",,0,,,,"0,7",,,"8,476",20,19,15,"0,3","20,4","0,2",1,"0,8",,,,,30/01/2021,2021,01,EX3600
0060140 ZSHI,60140,Análisis flúido,26/12/2020,0060140 ZSHI 20201226,"5375,42","5375,42","5375,42","462,62",133,Crítico,Crítico,,"5375,42",No,0,Crítico,Los predictores de Cobre están en critico,"1. Cambie toda la filtración hidráulica de flujo pleno, by pass y alta eficiencia.",Alto conteo de partículas,28/12/2020 3:22:35 p. m.,fpertuz,Acción: Cambiar los filtros (Prioridad: 2 - Acción dentro de las dos Paradas Programadas (Máxi)  Situación: Closed  Realización de Notas en 2021-01-13 06:52:51 por fpertuz:  Se cambiaron filtros del sistema hidraulico y se efectua limpieza de alarmas de contaminacion.    Durante las pruebas de rendimiento no se evidencian fallas   Cierre de notas en 2021-01-13 06:52:51 por fpertuz:  Seguimiento a la siguiente muestra    ,,"12,7","331,5","172,9",,0,,,,"1,8",,,"8,396",23,22,18,"0,7",16,"0,3",1,0,,,,,26/12/2020,2020,12,EX3600
0060140 ZSHI,60140,Análisis flúido,15/08/2020,0060140 ZSHI 20200815,"4912,8","4912,8","4912,8","135,39",10,Advertencia,Crítico,,"4912,8",No,0,Crítico,El predictor del cobre esta en rango critico,1. Revisar estado de funcionamiento del filtro de alta eficiencia. (En caso que se detecte condicion con el filtro habilite en las proximas 24 Hrs)  2. Cambiar filtracion hidraulica,Altos metales de desgaste,19/08/2020 2:51:26 p. m.,fpertuz,"Acción: Cambiar los filtros (Prioridad: 1 - Acción dentro de la Parada Actual Programada (Máxi)  Situación: Closed  Realización de Notas en 2020-08-28 09:54:54 por lgomez10:  ""realizado por""""CONFIABILIDAD		HAROL DIAZ    chm mineria	13 de agosto de 2020""    Cierre de notas en 2021-02-17 16:27:03 por fpertuz:  ""realizado por""""CONFIABILIDAD		HAROL DIAZ    chm mineria	13 de agosto de 2020""      ",,9,"327,2","175,7",,"0,1",,,,"0,6",,,,19,18,14,"0,5","17,2","0,1",1,0,,,,,15/08/2020,2020,08,EX3600
0060140 ZSHI,60140,Análisis flúido,5/08/2020,0060140 ZSHI 20200805,"4777,41","4777,41","4777,41","299,18",22,Advertencia,Advertencia,,"4777,41",No,0,Advertencia,El predictor de cobre bajo a rangos de advertencia.,"  1.Cambiar los filtros hidráulicos de flujo pleno, by pass y alta eficiencia.  ",Alto conteo de partículas,10/08/2020 3:07:13 p. m.,fpertuz,"Acción: Cambiar los filtros (Prioridad: 2 - Acción dentro de las dos Paradas Programadas (Máxi)  Situación: Closed  Realización de Notas en 2020-08-21 08:29:15 por lgomez10:  ""realizado por""""CONFIABILIDAD		HAROL DIAZ    chm mineria	13 de agosto de 2020""    Cierre de notas en 2021-02-17 16:27:58 por fpertuz:  ""realizado por""""CONFIABILIDAD		HAROL DIAZ    chm mineria	13 de agosto de 2020""    ",,"19,9","326,3","195,8",,0,,,,"0,4",,,,17,15,11,0,"11,3",0,1,"1,1",,,,,5/08/2020,2020,08,EX3600
0060140 ZSHI,60140,Análisis flúido,14/07/2020,0060140 ZSHI 20200714,"4478,23","4478,23","4478,23","529,24",33,Advertencia,Crítico,,"4478,23",No,0,Crítico,El predictor del cobre  se disparo a críticos.,1. Cambie todos los filtros del sistema hidraulico a excepcion de los de succion.  2. Efectue  un recambio pasadas 50 Horas de la parada programada.  3. Inspeccione las alarmas de contaminacion del equipo y efectue pruebas de rendimiento garantizando que los componentes del sistema hidraulico como bombas y motores estan trabajando en normalidad.  ,Alto conteo de partículas,20/07/2020 3:57:21 p. m.,fpertuz,Acción: Cambiar los filtros (Prioridad: 1 - Acción dentro de la Parada Actual Programada (Máxi)  Situación: Closed  Realización de Notas en 2020-08-04 18:10:03 por lgomez10:  EJECUTADO  Cierre de notas en 2021-02-17 16:29:20 por fpertuz:  EJECUTADO    Acción: Inspeccionar por cualquier aflojamiento mecanico (Prioridad: 1 - Acción dentro de la Parada Actual Programada (Máxi)  Situación: Closed  Realización de Notas en 2020-08-04 18:10:02 por lgomez10:  EJECUTADO  Cierre de notas en 2021-02-17 16:29:20 por fpertuz:  EJECUTADO    ,,"12,9","312,8",238,,"0,4",,,,1,,,,21,20,17,"0,6","20,9",0,1,0,,,,,14/07/2020,2020,07,EX3600
0060140 ZSHI,60140,Análisis flúido,11/06/2020,0060140 ZSHI 20200611,"3948,99","3948,99","3948,99","170,48",14,Advertencia,Normal,,"3948,99",No,0,Normal,"Predictores en sus rangos normales, esperemos la siguiente muestra y mantener seguimiento.",,Ninguna falla identificada,15/06/2020 10:11:09 p. m.,fpertuz,,,"58,2","470,4","229,8",,0,,,,"1,4",,,"8,282",21,20,17,"0,9",0,"0,2",0,0,,,,,11/06/2020,2020,06,EX3600
0060140 ZSHI,60140,Análisis flúido,28/05/2020,0060140 ZSHI 20200528,"3778,51","3778,51","3778,51","199,83",14,Advertencia,Crítico,,"3778,51",No,0,Crítico,El prodictor del cobre nuevamente esta por fuera de sus parametros normales,"1. tomar R muestreo del aceite hidraulico, entregar una muestra de un litro a Primax y una muestra normal al laboratorio de tribologia.    Este aceite se cambio el 19/5/2020.",Alto conteo de partículas,1/06/2020 5:37:21 p. m.,fpertuz,"Acción: Tomar muestra de aceite (Prioridad: 2 - Acción dentro de las dos Paradas Programadas (Máxi)  Situación: Closed  Realización de Notas en 2020-06-08 08:56:39 por lgomez10:  ""SE EJECUTA DURANTE EL PM POR CHM  EL 06-06-2020""    Cierre de notas en 2020-06-16 10:31:52 por fpertuz:      ",,"22,5","318,1","133,3",,"0,6",,,,"0,6",,,"8,067",20,18,15,"0,4","14,5","0,1",1,"1,2",,,,,28/05/2020,2020,05,EX3600
0060140 ZSHI,60140,Análisis flúido,14/05/2020,0060140 ZSHI 20200514,"3578,68","3578,68","3578,68","454,5",70,Crítico,Normal,"3578,68","3578,68",No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,Ninguna falla identificada,16/05/2020 9:08:29 p. m.,sysadmin,,,"42,9","385,5","216,3",,0,,,,"0,5",,,"8,332",22,21,19,0,"0,5",0,0,0,,,,,14/05/2020,2020,05,EX3600
0060140 ZSHI,60140,Análisis flúido,5/03/2020,0060140 ZSHI 20200305,"3124,18","3124,18","3124,18","504,03",32,Crítico,Normal,"3124,18","3124,18",No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,Ninguna falla identificada,8/03/2020 9:06:34 p. m.,sysadmin,,,"52,7","422,2","290,5",,"0,4",,,,"0,6",,,"8,428",22,21,18,0,"0,4",0,0,0,,,,,5/03/2020,2020,03,EX3600
0060140 ZSHI,60140,Análisis flúido,2/02/2020,0060140 ZSHI 20200202,"2620,15","2620,15","2620,15","621,09",37,Crítico,Crítico,"2620,15","2620,15",No,0,Normal,Tomar otra muestra de aceite ya que los niveles se encuentran elevados,Seguir operando el componente,Ninguna falla identificada,5/02/2020 4:58:00 p. m.,,,,"1,3","34,1","231,6",,"0,1",,,,"0,9",,,"7,204",18,17,13,"0,4",56,0,1,"0,2",,,,,2/02/2020,2020,02,EX3600
0060140 ZSHI,60140,Análisis flúido,27/12/2019,0060140 ZSHI 20191227,"1999,06","1999,06","1999,06","579,41",30,Crítico,Advertencia,,"1999,06",No,0,Advertencia,El plomo se encuentra elevado. Se debe rechequear muestra para confirmar valor,,Altos metales de desgaste,2/01/2020 9:47:12 a. m.,,,,"218,1","2,3",1461,,0,,,,0,,,"8,483",20,19,15,0,"0,8",0,2,"4,1",,,,,27/12/2019,2019,12,EX3600
0060140 ZSHI,60140,Análisis flúido,27/11/2019,0060140 ZSHI 20191127,"1419,65","1419,65","1419,65","468,94",28,Crítico,Crítico,"43650,01","1419,65",No,0,Advertencia,El cobre está por encima de las alertas y la viscosidad es ligeramente baja. Estos indicadores son signos habituales de rotura en el desgaste para la edad de este componente y el aceite OEM en uso. Todos los demás predictores permanecen dentro de límites aceptables. continúe tomando muestras a intervalos regulares y vigile de cerca.    Copper is above alerts and viscosity is slightly low. These indicators are usual signs of break in wear for the age of this component and OEM oil in use. All other predictors remain within acceptable limits. continue to sample at regular intervals and monitor closely. ,,Desgaste por asentamiento,28/11/2019 10:35:25 p. m.,,,,"0,2","43,9","251,7",,0,,,,"0,5",,,"7,144",,,,0,"70,4",0,1,0,,,,,27/11/2019,2019,11,EX3600
0060140 ZSHI,60140,Análisis flúido,30/10/2019,0060140 ZSHI 20191030,"950,71","950,71","950,71",475,25,Crítico,Crítico,"950,71","950,71",No,0,Advertencia,El cobre se eleva por encima de las alertas de ganancia y la viscosidad es ligeramente menor. Estos indicadores son signos habituales de rotura en el desgaste para la edad de este componente.  Todos los demás predictores permanecen dentro de límites aceptables. continúe tomando muestras a intervalos regulares y vigile de cerca.    Copper is elevated above earning alerts and viscosity is slightly lower. These indicators are usual signs of break in wear for the age of this component.  All other predictors remain within acceptable limits. continue to sample at regular intervals and monitor closely.   ,,Desgaste por asentamiento,2/11/2019 12:06:56 p. m.,dmiller,,,"1,2","40,4","215,7",,"0,5",,,,"0,6",,,"7,203",18,17,13,0,57,0,1,"0,2",,,,,30/10/2019,2019,10,EX3600
0060140 ZSHI,60140,Análisis flúido,5/10/2019,0060140 ZSHI 20191005,"475,71","475,71","475,71",,,Crítico,Crítico,"85913,01","475,71",No,0,Advertencia,"Primera muestra para este componente, el cobre se eleva por encima de las alertas de nanci y la viscosidad es ligeramente menor. Estos indicadores son signos habituales de rotura en el desgaste para la edad de este componente.  Todos los demás predictores permanecen dentro de límites aceptables. continúe tomando muestras a intervalos regulares y vigile de cerca.    First sample for this component, copper is elevated above earning alerts and viscosity is slightly lower. These indicators are usual signs of break in wear for the age of this component.  All other predictors remain within acceptable limits. continue to sample at regular intervals and monitor closely. ",,Altos metales de desgaste,7/10/2019 2:29:47 p. m.,,,,"5,1","89,4","269,5",,0,0,,,"0,5",,,"7,077",21,18,11,"0,1","80,9","0,2",2,"0,5",,,,,5/10/2019,2019,10,EX3600
0060141 ZSHI,60141,Análisis flúido,29/07/2026,0060141 ZSHI 20260729,"34195,15","34209,35","34209,35","527,3",31,Normal,Crítico,,"34209,35",No,0,Advertencia,"  Los predictores del codigo ISO de limpieza estan en rango de advertencia .  Asistente, abre una OT tipo TR P3 con las siguientes recomendaciones   1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia).",,,3/08/2026 3:48:26 p. m.,jbenitez2,,,"64,51","28,4","133,32",,"0,91",,2,22,"4,61",,29,"10,33",20,19,16,"2,19","0,93","1,42","7,13","0,01",,,,,29/07/2026,2026,07,EX3600
0060141 ZSHI,60141,Análisis flúido,28/06/2026,0060141 ZSHI 20260628,"33667,85","33682,05","33682,05","374,7",24,Normal,Crítico,,"33682,05",No,0,Normal,PUEDE SEGUIR OPERANDO ,,Ninguna falla identificada,30/06/2026 10:21:08 a. m.,jbenitez2,,,"78,29","45,08","127,24",,"0,37",,3,21,"5,34",,28,"10,07",18,15,12,"3,21","1,56","2,32","10,19","0,13",,,,,28/06/2026,2026,06,EX3600
0060141 ZSHI,60141,Análisis flúido,4/06/2026,0060141 ZSHI 20260604,"33293,15","33307,35","33307,35",450,27,Normal,Crítico,,"33307,35",No,0,Advertencia,YA SE TIENE UNA OT PARA ESTE COMPONENTE #1676433,,Alto conteo de partículas,9/06/2026 2:49:26 p. m.,jbenitez2,,,"81,36","34,24","119,08",,0,,3,22,"4,63",,28,10,24,22,19,"2,64","1,56","2,17","10,19","1,33",,,,,4/06/2026,2026,06,EX3600
0060141 ZSHI,60141,Análisis flúido,8/05/2026,0060141 ZSHI 20260508,"32843,15","32857,35","32857,35","377,8",24,Normal,Crítico,,"32857,35",No,0,Advertencia,"Los predictores del codigo ISO de limpieza estan en rango de advertencia .  Asistente, abre una OT tipo TR P2 con las siguientes recomendaciones y enventanarla el dia 20/5/2026 en el seis 300 :  1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia).",,Alto conteo de partículas,11/05/2026 11:34:05 a. m.,jbenitez2,,,"90,31","34,66","109,83",,0,,2,21,"3,24",,28,"10,05",19,18,14,"1,96","1,65","1,79","6,51","0,44",,,,,8/05/2026,2026,05,EX3600
0060141 ZSHI,60141,Análisis flúido,14/04/2026,0060141 ZSHI 20260414,"32465,35","32479,55","32479,55","71,3",4,Normal,Crítico,,"32479,55",No,0,Normal,YA SE TIENE UNA OT 1659602,,Alto conteo de partículas,21/04/2026 8:03:22 a. m.,jbenitez2,,,"66,89","1,63","81,14",,0,,2,21,"0,05",,28,"11,1",22,19,16,"0,35",0,0,"0,38",0,,,,,14/04/2026,2026,04,EX3600
0060141 ZSHI,60141,Análisis flúido,10/04/2026,0060141 ZSHI 20260410,"32394,05","32408,25","32408,25","263,1",17,Normal,Crítico,,"32408,25",No,0,Advertencia,"Los predictores del codigo ISO de limpieza estan en rango de critico.  Asistente, abre una OT tipo TR P2 con las siguientes recomendaciones :  1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia).",,Alto conteo de partículas,13/04/2026 1:14:24 p. m.,jbenitez2,,,"66,86","2,33","98,72",,"0,45",,2,21,"0,07",,28,"11,047",20,19,14,"0,2",0,0,0,0,,,,,10/04/2026,2026,04,EX3600
0060141 ZSHI,60141,Análisis flúido,24/03/2026,0060141 ZSHI 20260324,"32130,95","32145,15","32145,15","190,4",10,Normal,Crítico,,"32145,15",No,0,Advertencia,YA SE TIENE UNA OT ES LA #1642440,,Alto conteo de partículas,30/03/2026 1:00:53 p. m.,jbenitez2,,,"71,93","24,49","98,89",,"0,38",,3,21,"6,13",,28,"10,234",24,22,17,"3,42","2,71","2,35","8,7","0,17",,,,,24/03/2026,2026,03,EX3600
0060141 ZSHI,60141,Análisis flúido,14/03/2026,0060141 ZSHI 20260314,"31940,55","31954,75","31954,75","51,1",3,Normal,Crítico,,"31954,75",No,0,Crítico,"Los predictores del codigo ISO de limpieza estan en rango de critico.  Asistente, abre una OT tipo TR P2 con las siguientes recomendaciones Y enventanarla el dia 28/03/2026  1.Cambie el aceite hidraulico de la maquina   2.  Cambie los desfogues del tanque hidráulico.  3. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia).",,Alto conteo de partículas,16/03/2026 11:47:22 a. m.,jbenitez2,,,"75,08","30,03","144,88",,0,,2,21,"4,45",,28,"9,9",24,22,19,"1,5","3,34","1,49","6,82",0,,,,,14/03/2026,2026,03,EX3600
0060141 ZSHI,60141,Análisis flúido,11/03/2026,0060141 ZSHI 20260311,"31889,45","31903,65","31903,65","114,9",7,Normal,Crítico,,"31903,65",No,0,Normal,se tomara una contramuestra para verificar tendencia,,Ninguna falla identificada,16/03/2026 11:57:13 a. m.,jbenitez2,,,"83,36","34,51","88,95",,"0,04",,2,21,"3,23",,28,"10,3",24,22,18,"1,69","2,76","1,29","8,31","0,29",,,,,11/03/2026,2026,03,EX3600
0060141 ZSHI,60141,Análisis flúido,4/03/2026,0060141 ZSHI 20260304,"31774,55","31788,75","31788,75","37,3",3,Normal,Crítico,,"31788,75",No,0,Advertencia,SE TOMARA UNA CONTRAMUESTRA PARA VERIFICAR TENDENCIA,,Alto conteo de partículas,10/03/2026 4:06:12 p. m.,jbenitez2,,,"70,26","38,51","117,8",,"0,22",,2,21,"4,9",,28,"10,297",23,21,14,"2,56","3,58","1,34","8,36",0,,,,,4/03/2026,2026,03,EX3600
0060141 ZSHI,60141,Análisis flúido,1/03/2026,0060141 ZSHI 20260301,"31737,25","31751,45","31751,45","409,3",24,Normal,Crítico,,"31751,45",No,0,Advertencia,"YA SE CAMBIARON FILTROS , SE TOMARA CONTRAMUESTRA ",,Alto conteo de partículas,4/03/2026 8:52:39 a. m.,jbenitez2,,,"70,52","47,2","134,49",,"0,77",,,,"4,66",,,"10,431",22,20,13,"2,69","2,37","1,96","9,25",0,,,,,1/03/2026,2026,03,EX3600
0060141 ZSHI,60141,Análisis flúido,5/02/2026,0060141 ZSHI 20260205,"31327,95","31342,15","31342,15","333,2",23,Normal,Crítico,,"31342,15",No,0,Advertencia,"Los predictores del codigo ISO de limpieza estan en rango de advertencia.  Asistente, abre una OT tipo TR P3 con las siguientes recomendaciones: .  1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia)",,Alto conteo de partículas,9/02/2026 1:21:14 p. m.,jbenitez2,,,"72,78","4,89","121,01",,0,,2,21,"1,08",,28,"11,057",22,21,17,0,"0,06","0,1","0,17",0,,,,,5/02/2026,2026,02,EX3600
0060141 ZSHI,60141,Análisis flúido,13/01/2026,0060141 ZSHI 20260113,"30994,75","31008,95","31008,95","519,2",31,Normal,Crítico,,"31008,95",No,0,Normal,SEGUIR OPERANDO   ,,Ninguna falla identificada,19/01/2026 11:58:46 a. m.,jbenitez2,,,"49,62","3,12","102,29",,"0,3",,,,"1,28",,,,19,18,13,"0,86",0,0,"0,42","1,08",,,,,13/01/2026,2026,01,EX3600
0060141 ZSHI,60141,Análisis flúido,13/12/2025,0060141 ZSHI 20251213,"30475,55","30489,75","30489,75","417,4",22,Normal,Crítico,,"30489,75",No,0,Advertencia,"Los predictores del codigo ISO de limpieza estan en rango de advertencia.  Asistente, abre una OT tipo TR P3 con las siguientes recomendaciones Y enventanarla en el evento del dia 24/12/2025 .  1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia)  Pedir el elemento filtrante STOCK: 483074 ",,Alto conteo de partículas,16/12/2025 10:20:09 a. m.,jbenitez2,,,"63,57","3,41","99,25",,"0,2",,2,21,"1,94",,28,"11,003",24,22,19,"0,22",0,0,"0,54",0,,,,,13/12/2025,2025,12,EX3600
